FLProjectExperiment | INFO flwr 2024-10-06 19:33:59,709 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,316 | app.py:213 | Flower VCE: Ray initialized with resources: {'CPU': 4.0, 'object_store_memory': 1698705408.0, 'node:127.0.0.1': 1.0, 'node:__internal_head__': 1.0, 'memory': 3397410816.0}
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,331 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,331 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1, 'num_gpus': 0}
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,433 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 4 actors
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,438 | server.py:92 | [INIT]
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,444 | server.py:275 | Using initial global parameters provided by strategy
FLProjectExperiment | INFO flwr 2024-10-06 19:34:15,451 | server.py:94 | Evaluating initial global parameters
FLProjectExperiment | INFO flwr 2024-10-06 19:34:16,173 | server.py:97 | initial parameters (loss, other metrics): 0.008396691131591796, {'Accuracy': 0.1354}
FLProjectExperiment | INFO flwr 2024-10-06 19:34:16,173 | server.py:110 | 
FLProjectExperiment | INFO flwr 2024-10-06 19:34:16,173 | server.py:111 | [ROUND 1]
FLProjectExperiment | INFO flwr 2024-10-06 19:34:16,190 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:36:18,916 | server.py:238 | aggregate_fit: received 2 results and 0 failures
FLProjectExperiment | INFO flwr 2024-10-06 19:36:19,834 | server.py:129 | fit progress: (1, 0.0001619518995285034, {'Accuracy': 0.1354}, 123.66268539999146)
FLProjectExperiment | INFO flwr 2024-10-06 19:36:19,850 | server.py:176 | configure_evaluate: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:37:48,527 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,237 | app.py:213 | Flower VCE: Ray initialized with resources: {'CPU': 4.0, 'object_store_memory': 1681827840.0, 'node:127.0.0.1': 1.0, 'node:__internal_head__': 1.0, 'memory': 3363655680.0}
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,237 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,253 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1, 'num_gpus': 0}
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,362 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 4 actors
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,362 | server.py:92 | [INIT]
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,382 | server.py:275 | Using initial global parameters provided by strategy
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,385 | server.py:94 | Evaluating initial global parameters
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,838 | server.py:97 | initial parameters (loss, other metrics): 0.00031383171081542967, {'Accuracy': 0.8648}
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,838 | server.py:110 | 
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,838 | server.py:111 | [ROUND 1]
FLProjectExperiment | INFO flwr 2024-10-06 19:38:04,854 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:40:05,523 | server.py:238 | aggregate_fit: received 2 results and 0 failures
FLProjectExperiment | INFO flwr 2024-10-06 19:40:06,328 | server.py:129 | fit progress: (1, 0.0001278503656387329, {'Accuracy': 0.4012}, 121.4830229000072)
FLProjectExperiment | INFO flwr 2024-10-06 19:40:06,330 | server.py:176 | configure_evaluate: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:41:07,816 | server.py:190 | aggregate_evaluate: received 2 results and 0 failures
FLProjectExperiment | INFO flwr 2024-10-06 19:41:07,920 | server.py:110 | 
FLProjectExperiment | INFO flwr 2024-10-06 19:41:07,920 | server.py:111 | [ROUND 2]
FLProjectExperiment | INFO flwr 2024-10-06 19:41:07,936 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:42:16,142 | server.py:238 | aggregate_fit: received 2 results and 0 failures
FLProjectExperiment | INFO flwr 2024-10-06 19:42:16,890 | server.py:129 | fit progress: (2, 0.00012429403066635132, {'Accuracy': 0.4022}, 252.0487623999943)
FLProjectExperiment | INFO flwr 2024-10-06 19:42:16,890 | server.py:176 | configure_evaluate: strategy sampled 2 clients (out of 2)
FLProjectExperiment | INFO flwr 2024-10-06 19:43:13,872 | server.py:190 | aggregate_evaluate: received 2 results and 0 failures
FLProjectExperiment | INFO flwr 2024-10-06 19:43:13,933 | server.py:110 | 
FLProjectExperiment | INFO flwr 2024-10-06 19:43:13,933 | server.py:111 | [ROUND 3]
FLProjectExperiment | INFO flwr 2024-10-06 19:43:13,949 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 2)
